,Recon
385,1.2979880571365356
386,1.2496129274368286
387,1.303454875946045
388,1.339975357055664
389,1.239382028579712
390,1.2817808389663696
391,1.3268831968307495
392,1.2565985918045044
393,1.285354733467102
394,1.230562686920166
395,1.2322372198104858
396,1.269167423248291
397,1.2646968364715576
398,1.2328705787658691
399,1.2313381433486938
400,1.2912139892578125
401,1.298822283744812
402,1.2998454570770264
403,1.2829101085662842
404,1.2834750413894653
405,1.2576366662979126
406,1.35288667678833
407,1.2512098550796509
408,1.218389868736267
409,1.312703251838684
410,1.3373970985412598
411,1.300675392150879
412,1.1942158937454224
413,1.292690396308899
414,1.292145848274231
415,1.256296992301941
416,1.2170922756195068
417,1.2798006534576416
418,1.3225936889648438
419,1.1952934265136719
420,1.2698091268539429
421,1.2376574277877808
422,1.2876521348953247
423,1.2566837072372437
424,1.2378238439559937
425,1.3347607851028442
426,1.239483118057251
427,1.194473385810852
428,1.3091957569122314
429,1.3070911169052124
430,1.263843297958374
431,1.3056387901306152
432,1.258286952972412
433,1.2668968439102173
434,1.1802308559417725
435,1.2806053161621094
436,1.2822903394699097
437,1.2612448930740356
438,1.3465007543563843
439,1.2194557189941406
440,1.1862610578536987
441,1.2548880577087402
442,1.3115378618240356
443,1.2174948453903198
444,1.2684545516967773
445,1.2723395824432373
446,1.275335669517517
447,1.1948323249816895
448,1.2299531698226929
449,1.216077446937561
450,1.268520712852478
451,1.2726776599884033
452,1.2494319677352905
453,1.25557541847229
454,1.2111326456069946
455,1.2493177652359009
456,1.2420092821121216
457,1.24593985080719
458,1.266182541847229
459,1.2664296627044678
460,1.2372946739196777
461,1.2604589462280273
462,1.1875402927398682
463,1.167688250541687
464,1.2149547338485718
465,1.211346983909607
466,1.3368024826049805
467,1.230218768119812
468,1.220304250717163
469,1.2283238172531128
470,1.2854464054107666
471,1.2549160718917847
472,1.1717463731765747
473,1.2951600551605225
474,1.2232447862625122
475,1.1859405040740967
476,1.3122378587722778
477,1.2367913722991943
478,1.153451681137085
479,1.1227126121520996
480,1.1559408903121948
481,1.2135416269302368
482,1.2409441471099854
483,1.126756191253662
484,1.192880630493164
485,1.2447879314422607
486,1.2127708196640015
487,1.222183346748352
488,1.2154123783111572
489,1.2343875169754028
490,1.182828664779663
491,1.169798731803894
492,1.1742688417434692
493,1.2059569358825684
494,1.3101755380630493
