,Recon
131,1.6601933240890503
132,1.662109375
133,1.7372702360153198
134,1.6480361223220825
135,1.6167765855789185
136,1.6382179260253906
137,1.6477255821228027
138,1.553557276725769
139,1.563913345336914
140,1.6318345069885254
141,1.6247364282608032
142,1.679571270942688
143,1.5872422456741333
144,1.7057846784591675
145,1.664931297302246
146,1.6189534664154053
147,1.5058066844940186
148,1.6102815866470337
149,1.5132925510406494
150,1.6335912942886353
151,1.6620924472808838
152,1.5538851022720337
153,1.6374876499176025
154,1.5464409589767456
155,1.5433051586151123
156,1.6347849369049072
157,1.6060285568237305
158,1.4972538948059082
159,1.5594768524169922
160,1.522099256515503
161,1.6472687721252441
162,1.5494312047958374
163,1.652880311012268
164,1.568496584892273
165,1.5214382410049438
166,1.5508297681808472
167,1.5745867490768433
168,1.6120774745941162
169,1.5465739965438843
170,1.5623657703399658
171,1.515222191810608
172,1.5069648027420044
173,1.5948948860168457
174,1.5231897830963135
175,1.5037740468978882
176,1.6120151281356812
177,1.54227876663208
178,1.5656347274780273
179,1.5158159732818604
180,1.4523195028305054
181,1.5358655452728271
182,1.4768797159194946
183,1.5159752368927002
184,1.4835721254348755
185,1.5143330097198486
186,1.49308180809021
187,1.444313883781433
188,1.4728955030441284
189,1.5466015338897705
190,1.527234673500061
191,1.5195258855819702
192,1.44393789768219
193,1.500847578048706
194,1.5167690515518188
195,1.4707551002502441
196,1.4421393871307373
197,1.4951549768447876
198,1.4575293064117432
199,1.4519776105880737
200,1.4693349599838257
201,1.5391958951950073
202,1.4198627471923828
203,1.550048589706421
204,1.4883183240890503
205,1.5459880828857422
206,1.4466300010681152
207,1.5766215324401855
208,1.5372012853622437
209,1.4645419120788574
210,1.4953281879425049
211,1.4881590604782104
212,1.5119746923446655
213,1.5005853176116943
214,1.4457740783691406
215,1.4215686321258545
216,1.464322566986084
217,1.4548354148864746
218,1.529089093208313
219,1.428350567817688
220,1.4108028411865234
221,1.4753602743148804
222,1.401745080947876
223,1.4322700500488281
224,1.5400316715240479
225,1.4637318849563599
226,1.4429569244384766
227,1.3483126163482666
228,1.403615117073059
229,1.4104011058807373
230,1.4084141254425049
231,1.4174684286117554
232,1.3882108926773071
233,1.351283311843872
234,1.4739158153533936
235,1.4131592512130737
236,1.4002128839492798
237,1.4025472402572632
238,1.4814651012420654
239,1.4160118103027344
240,1.3726931810379028
241,1.4077427387237549
242,1.4606119394302368
243,1.4093017578125
244,1.457240343093872
245,1.3600589036941528
246,1.4683728218078613
247,1.4235601425170898
248,1.4490820169448853
249,1.377883791923523
250,1.4100123643875122
251,1.3880938291549683
252,1.3176844120025635
253,1.431923747062683
254,1.4397194385528564
255,1.3819589614868164
256,1.4420357942581177
257,1.361324667930603
258,1.407172441482544
259,1.348178744316101
260,1.3897117376327515
261,1.4184134006500244
262,1.3792779445648193
263,1.358590006828308
264,1.45127272605896
265,1.3870986700057983
266,1.432750940322876
267,1.3982582092285156
268,1.5438817739486694
269,1.3162100315093994
270,1.4179071187973022
271,1.3467583656311035
272,1.3824511766433716
273,1.4732720851898193
274,1.3498812913894653
275,1.3909834623336792
276,1.3515195846557617
277,1.4098955392837524
278,1.3772776126861572
279,1.3272074460983276
280,1.3806318044662476
281,1.345758080482483
282,1.3380382061004639
283,1.3333936929702759
284,1.3445535898208618
285,1.3415614366531372
286,1.3751598596572876
287,1.3337010145187378
288,1.3617982864379883
289,1.3947715759277344
290,1.3632307052612305
291,1.411049246788025
292,1.3707436323165894
293,1.3090544939041138
294,1.3092918395996094
295,1.388924479484558
296,1.3398776054382324
297,1.4460798501968384
298,1.3761842250823975
299,1.2871644496917725
300,1.321828007698059
301,1.341182827949524
302,1.2971268892288208
303,1.3098753690719604
304,1.3271210193634033
305,1.2481497526168823
306,1.3298159837722778
307,1.3787486553192139
308,1.37012779712677
309,1.3324570655822754
310,1.285122275352478
311,1.3150529861450195
312,1.3500653505325317
313,1.2789077758789062
314,1.334814429283142
315,1.3688263893127441
316,1.2561286687850952
317,1.348630428314209
318,1.3458107709884644
319,1.304513931274414
320,1.2938591241836548
321,1.2659207582473755
322,1.2785075902938843
323,1.3007147312164307
324,1.3754442930221558
325,1.2751007080078125
326,1.349029541015625
327,1.3084532022476196
328,1.333320140838623
329,1.3745439052581787
330,1.3014951944351196
331,1.3026983737945557
332,1.2627911567687988
333,1.299567461013794
334,1.2913260459899902
335,1.3050180673599243
336,1.264091968536377
337,1.2644875049591064
338,1.3252142667770386
339,1.291318416595459
340,1.3140826225280762
341,1.2671953439712524
342,1.3458294868469238
343,1.2702025175094604
344,1.1712430715560913
345,1.325750470161438
346,1.295279860496521
347,1.3232678174972534
348,1.2514047622680664
349,1.2834186553955078
350,1.2886881828308105
351,1.2592991590499878
352,1.2426484823226929
353,1.2425835132598877
354,1.2782403230667114
355,1.2476061582565308
356,1.297816514968872
357,1.2067254781723022
358,1.2740379571914673
359,1.3463945388793945
360,1.2194479703903198
361,1.1939369440078735
362,1.3120558261871338
363,1.2468452453613281
364,1.2643324136734009
365,1.251960277557373
366,1.2138512134552002
367,1.2483186721801758
368,1.1965705156326294
369,1.2512803077697754
370,1.264161467552185
371,1.191969633102417
372,1.2407902479171753
373,1.2687673568725586
374,1.2401591539382935
375,1.1907823085784912
376,1.2627087831497192
377,1.2450865507125854
378,1.285035490989685
379,1.238800287246704
380,1.2065094709396362
381,1.2339246273040771
382,1.24864661693573
383,1.2105299234390259
384,1.247573971748352
385,1.222177267074585
386,1.1480891704559326
387,1.1971371173858643
388,1.2612636089324951
389,1.3092865943908691
390,1.22796630859375
391,1.188262939453125
392,1.240867018699646
393,1.2818056344985962
394,1.236584186553955
395,1.218121886253357
396,1.27738618850708
397,1.2352136373519897
398,1.261892557144165
399,1.288083553314209
400,1.2664334774017334
401,1.270209789276123
402,1.2419782876968384
403,1.2099173069000244
404,1.1851035356521606
405,1.2315295934677124
406,1.2337626218795776
407,1.263317584991455
408,1.1850494146347046
409,1.2647501230239868
410,1.2007602453231812
411,1.1903631687164307
412,1.2543751001358032
413,1.2055875062942505
414,1.1979237794876099
415,1.2499377727508545
416,1.2486284971237183
417,1.2398055791854858
418,1.2133671045303345
419,1.2171663045883179
420,1.1656370162963867
421,1.2126193046569824
422,1.2390384674072266
423,1.176387906074524
424,1.2298188209533691
425,1.1978341341018677
426,1.1761821508407593
427,1.2831056118011475
428,1.2342243194580078
429,1.1610051393508911
430,1.1619617938995361
431,1.2605454921722412
432,1.1926583051681519
433,1.2934523820877075
434,1.2809104919433594
435,1.1367378234863281
436,1.2681173086166382
437,1.16840660572052
438,1.2513829469680786
439,1.1536803245544434
440,1.2217258214950562
441,1.1718494892120361
442,1.2260485887527466
443,1.276444673538208
444,1.3018057346343994
445,1.1284579038619995
446,1.1630637645721436
447,1.2056344747543335
448,1.139955759048462
449,1.14933443069458
450,1.1238807439804077
451,1.2050987482070923
452,1.2351064682006836
453,1.1741077899932861
454,1.2228174209594727
455,1.1263405084609985
456,1.148714542388916
457,1.2265087366104126
458,1.1216883659362793
459,1.1741057634353638
460,1.1846680641174316
461,1.2351315021514893
462,1.1460617780685425
463,1.1670233011245728
464,1.1726473569869995
465,1.1718608140945435
466,1.2073713541030884
467,1.1845275163650513
468,1.1915467977523804
