,SupCon
518,1.869956374168396
519,1.8787057399749756
520,1.901510238647461
521,1.9126665592193604
522,1.7766191959381104
523,1.9286134243011475
524,1.8405702114105225
525,1.9048775434494019
526,1.8918602466583252
527,1.9364451169967651
528,1.8080271482467651
529,1.8182446956634521
530,1.8314851522445679
531,1.8800147771835327
532,1.8303697109222412
533,1.8913191556930542
534,1.8934671878814697
535,1.8126825094223022
536,1.7956874370574951
537,1.8090627193450928
538,1.7716648578643799
539,1.848473310470581
540,1.8236703872680664
541,1.8573226928710938
542,1.8984993696212769
543,1.7827752828598022
544,1.8481801748275757
545,1.8963534832000732
546,1.876650333404541
547,1.9529060125350952
548,1.8138720989227295
549,1.966351866722107
550,1.9171675443649292
551,1.8489494323730469
552,2.018157958984375
553,1.8256011009216309
554,1.856934905052185
555,1.8158714771270752
556,1.8433644771575928
557,1.9182641506195068
558,1.823879599571228
559,1.8079702854156494
560,1.8728407621383667
561,1.941076636314392
562,1.8727223873138428
563,1.8422012329101562
564,1.8870184421539307
565,1.9181417226791382
566,1.9945787191390991
567,1.8641637563705444
568,1.8686059713363647
569,1.878637671470642
570,1.7615795135498047
571,1.844000220298767
572,1.8631198406219482
573,1.7924277782440186
574,1.8388233184814453
575,1.9316353797912598
576,1.7827789783477783
577,1.9078936576843262
578,1.7970976829528809
579,1.8047170639038086
580,1.8547329902648926
581,1.8492653369903564
582,1.8036730289459229
583,1.8209352493286133
584,1.8313872814178467
585,1.8769477605819702
586,1.856780767440796
587,1.9440301656723022
588,1.9670722484588623
589,1.8570107221603394
590,1.848973035812378
591,1.8278850317001343
592,1.8095245361328125
593,1.8091516494750977
594,1.8259681463241577
595,1.8533813953399658
596,1.8665361404418945
597,1.8594348430633545
598,1.8984845876693726
599,1.8492240905761719
600,1.7897326946258545
601,1.8377851247787476
602,1.8204972743988037
603,1.8906186819076538
604,1.7762861251831055
605,1.8778324127197266
606,1.9328956604003906
607,1.817563533782959
608,1.8265371322631836
609,1.8146419525146484
610,1.7876780033111572
611,1.8116587400436401
612,1.8887962102890015
613,1.838178038597107
614,1.8300975561141968
615,1.8223469257354736
616,1.881959319114685
617,1.8010785579681396
618,1.8146476745605469
619,1.8214219808578491
620,1.8129148483276367
621,1.8573100566864014
622,1.871320128440857
623,1.8203752040863037
624,1.868064284324646
625,1.8912338018417358
626,1.7768162488937378
627,1.8469346761703491
628,1.8167318105697632
629,1.8613221645355225
630,1.7763612270355225
631,1.7993769645690918
632,1.817567229270935
633,1.8311352729797363
634,1.8144214153289795
635,1.8723033666610718
636,1.9088572263717651
637,1.8568682670593262
638,1.8479245901107788
639,1.7973544597625732
640,1.810442328453064
641,1.760267734527588
642,1.884664535522461
643,1.893916368484497
644,1.8407891988754272
645,1.7855122089385986
646,1.8360227346420288
647,1.8126142024993896
648,1.9000170230865479
649,1.8694663047790527
650,1.831336498260498
651,1.8590878248214722
652,1.8524229526519775
653,1.873630404472351
654,1.8867725133895874
655,1.8097970485687256
656,1.8096797466278076
657,1.7787742614746094
658,1.8288335800170898
659,1.8358943462371826
660,1.8301143646240234
661,1.873427152633667
662,1.8701341152191162
663,1.789334774017334
664,1.838965892791748
665,1.7829569578170776
666,1.8370530605316162
667,1.888362169265747
668,1.8153014183044434
669,1.806430697441101
670,1.8197715282440186
671,1.79669988155365
672,1.7996368408203125
673,1.8207567930221558
674,1.8107155561447144
675,1.7982487678527832
676,1.7790311574935913
677,1.8270429372787476
678,1.8197674751281738
679,1.9245775938034058
680,1.8212108612060547
681,1.7951059341430664
682,1.7849935293197632
683,1.838141679763794
684,1.8449745178222656
685,1.7535890340805054
686,1.8501272201538086
687,1.8735618591308594
688,1.8388750553131104
689,1.8215477466583252
690,1.7852009534835815
691,1.8113343715667725
692,1.8089169263839722
693,1.8129584789276123
694,1.8682374954223633
695,1.7862857580184937
696,1.8162578344345093
697,1.767595648765564
698,1.7937040328979492
699,1.8685245513916016
700,1.7979941368103027
701,1.7877492904663086
702,1.8873043060302734
703,1.7561137676239014
704,1.9183286428451538
705,1.7981312274932861
706,1.8230246305465698
707,1.8114902973175049
708,1.8519070148468018
709,1.8697142601013184
710,1.8646790981292725
711,1.7713559865951538
712,1.7783998250961304
713,1.8636726140975952
714,1.7983368635177612
715,1.8291993141174316
716,1.8441036939620972
717,1.8537862300872803
718,1.7986834049224854
719,1.9143314361572266
720,1.7621638774871826
721,1.8188523054122925
722,1.808846354484558
723,1.802072286605835
724,1.8278462886810303
725,1.8706516027450562
726,1.8014698028564453
727,1.8317959308624268
728,1.7813419103622437
729,1.871948480606079
730,1.7726495265960693
731,1.8663115501403809
732,1.7818496227264404
733,1.812624216079712
734,1.8721539974212646
735,1.8378887176513672
736,1.8132222890853882
737,1.8621177673339844
738,1.8030275106430054
739,1.7868503332138062
740,1.8872039318084717
741,1.8225278854370117
742,1.8094632625579834
743,1.8526896238327026
744,1.7880281209945679
745,1.7567170858383179
746,1.8051656484603882
747,1.764791488647461
748,1.8514549732208252
749,1.8063299655914307
750,1.8531688451766968
751,1.7838739156723022
