anc_idx,aug_idx,distance
123,20616,2.1882964918270735
123,20617,2.1796105281481903
123,20618,2.0766689575375654
123,20619,4.923824602484815
124,20620,9.008679556814274
124,20621,4.028211281890373
124,20622,3.7346260921480656
124,20623,2.512610333190732
124,20624,1.7119012952258845
125,20625,2.198012500453986
125,20626,2.7094568773969603
125,20627,3.93889558968145
125,20628,2.0972343768762087
125,20629,2.0879679839418785
126,20630,2.613067667561552
126,20631,4.316548041780882
126,20632,3.3335422500380836
126,20633,3.2633381055948045
126,20634,8.97883285347421
127,20635,3.3992762977412316
127,20636,2.6293312863861065
127,20637,2.621229030531608
127,20638,2.4196683461832067
127,20639,3.2085058222001885
128,20640,1.9362017863483898
128,20641,1.9438887822412851
128,20642,2.4871958498456492
128,20643,2.8803622478776725
128,20644,2.4093371772008383
129,20645,3.5775428694648914
129,20646,4.445388732220472
129,20647,3.398557735616769
129,20648,3.9912362886005934
129,20649,3.4843971234766435
130,20650,2.5007478806057803
130,20651,1.855521482358291
130,20652,2.5290646137098856
130,20653,1.855521482358291
130,20654,2.7727772682400693
131,20655,4.077547747194412
131,20656,7.840539533268037
131,20657,3.561929776201552
131,20658,3.823477251720939
131,20659,3.7255360742484362
132,20660,1.9355799990205278
132,20661,9.50735972146441
132,20662,1.9702224851245014
132,20663,4.5127719531292545
132,20664,2.3150700795094314
133,20665,2.02162403161866
133,20666,1.8674470275213078
133,20667,2.135174440016976
133,20668,1.8674470275213078
133,20669,3.9280075011504842
134,20670,9.993920784717211
134,20671,2.5753870147424176
134,20672,1.9665063796331177
134,20673,3.680580428183632
134,20674,2.7349193277287758
135,20675,1.9543214699972014
135,20676,2.028359937722729
135,20677,2.4629902307136557
135,20678,3.52411181512979
135,20679,2.029038797468833
136,20680,2.5357575956987266
136,20681,9.6235764301446
136,20682,4.352516416367093
136,20683,2.8869365804654867
136,20684,4.352516416367093
137,20685,1.861332836575464
137,20686,2.070804441964193
137,20687,2.5942121051766946
137,20688,1.9108135601695806
137,20689,3.0387112571112582
138,20690,3.2305520925068967
138,20691,2.702672414190724
138,20692,4.863451988242119
138,20693,2.9137344119728645
138,20694,2.1556183074995627
139,20695,2.3740316985766072
139,20696,2.239781853028828
139,20697,2.3803129988207887
139,20698,2.568234339905032
139,20699,2.108868037199806
140,20700,2.0807444865923137
140,20701,10.423307163779059
140,20702,2.535031704734512
140,20703,2.1023181091514376
140,20704,1.9699458882989525
141,20705,1.8054383681246735
141,20706,2.0152241105803346
141,20707,3.795947172778503
141,20708,1.8054383681246735
141,20709,2.5509571073967408
142,20710,3.4039340634984825
142,20711,2.605758219649641
142,20712,2.8279574048849443
142,20713,3.5630478419738614
142,20714,3.206279804687718
143,20715,3.278686146285366
143,20716,2.097356412073892
143,20717,3.266596745514561
143,20718,3.400457215985458
143,20719,2.932768406559383
144,20720,9.145159712407567
144,20721,3.8465370677527293
144,20722,3.524041674625486
144,20723,3.3016889803881
144,20724,1.910374082439006
145,20725,2.6562348490696657
145,20726,2.6070682618031986
145,20727,1.852367006103513
145,20728,1.964170291399664
145,20729,11.540145808200181
146,20730,3.732154154395793
146,20731,2.8752629006259576
146,20732,2.652198750320464
146,20733,3.556574373869385
146,20734,3.782776209800156
147,20735,2.6437762526579456
147,20736,2.116105252332603
147,20737,2.2689336853951794
147,20738,2.888081361600997
147,20739,2.3486481977343487
148,20740,2.381111705495673
148,20741,2.049476198752087
148,20742,2.381111705495673
148,20743,2.451512484923678
148,20744,2.0735077633968664
149,20745,2.0257250459359826
149,20746,3.1849372819248476
149,20747,2.9430771308245562
149,20748,1.81955710355237
149,20749,3.139892605765316
150,20750,3.5214886792262936
150,20751,2.107031624147295
150,20752,2.248900603880383
150,20753,4.4421753867889295
150,20754,3.3890413659153436
151,20755,3.081126350832916
151,20756,3.524216419517078
151,20757,5.193083239671063
151,20758,3.2381135724006307
151,20759,3.539886181654294
152,20760,1.686966529853749
152,20761,2.4400446196065095
152,20762,2.536498805247602
152,20763,1.7920902270853554
152,20764,2.680929984163983
153,20765,2.1803850012688635
153,20766,5.569160295613456
153,20767,2.11245197858637
153,20768,3.449564531410846
153,20769,3.0592753420043985
154,20770,2.523558220184619
154,20771,3.0295200687636967
154,20772,2.12261037772145
154,20773,3.0911485755307546
154,20774,2.12436996664123
155,20775,3.361604927443729
155,20776,3.0224720463217354
155,20777,2.473151369970343
155,20778,3.705957405019119
155,20779,2.439726101958647
156,20780,3.7000319290535373
156,20781,3.5543240153214484
156,20782,3.873138700773092
156,20783,3.9017706054027217
156,20784,4.485107817859289
157,20785,2.6558509402062973
157,20786,2.2013710234085444
157,20787,1.9396510904936624
157,20788,3.9988987839196506
157,20789,1.9396510904936624
158,20790,2.071654315126928
158,20791,4.633805997674865
158,20792,2.5282768296974085
158,20793,3.552638683483965
158,20794,2.3807850395619554
159,20795,1.778099991451799
159,20796,9.20134802183507
159,20797,3.588335766210503
159,20798,1.9954510934867709
159,20799,2.2324802838805518
160,20800,3.058564167242228
160,20801,2.3146614737429654
160,20802,2.510532126287666
160,20803,4.695221072824611
160,20804,2.629849645637083
161,20805,1.8567678387966302
161,20806,10.43196372841681
161,20807,1.9902887280622705
161,20808,9.157943066242497
161,20809,1.8906188485812967
162,20810,3.3110215624603483
162,20811,9.409948501494767
162,20812,2.3372341736604287
162,20813,5.2463230429480125
162,20814,2.6904034727519064
163,20815,3.3440058389723517
163,20816,2.2278745788228855
163,20817,2.092859031913403
163,20818,3.8363978137414225
163,20819,2.7035065217010237
164,20820,2.170194949239265
164,20821,3.71769754183522
164,20822,12.127791089048397
164,20823,2.1137541639353628
164,20824,2.572997728169131
165,20825,6.941884356666374
165,20826,2.788617889043646
165,20827,14.17828158035525
165,20828,2.626098887023679
165,20829,2.443180612701602
166,20830,2.0505477643499774
166,20831,4.268610200649707
166,20832,4.987129819742484
166,20833,2.992146198364895
166,20834,1.7626738595185403
167,20835,9.371684853204313
167,20836,3.089122560402744
167,20837,2.7321306305023008
167,20838,2.8577949048842943
167,20839,3.1174469533002434
168,20840,8.972466008225119
168,20841,2.4933730087879797
168,20842,2.980880378125011
168,20843,3.2206163249368824
168,20844,2.358275269195579
169,20845,4.932452225234881
169,20846,3.633894218116623
169,20847,5.942401242678169
169,20848,3.102531160381173
169,20849,4.442433005957357
170,20850,2.292756079091291
170,20851,2.561778445426644
170,20852,7.789493329289362
170,20853,2.7566370807874656
170,20854,2.7866481788796844
171,20855,4.264797174905547
171,20856,1.9407407448788034
171,20857,1.8698118406893087
171,20858,2.7192964189558047
171,20859,4.779989232838839
172,20860,2.3536172886661157
172,20861,2.4121864012145706
172,20862,2.2366188074611255
172,20863,2.7724310912634986
172,20864,2.4181893828480385
173,20865,1.9394301314565974
173,20866,1.9002109226503514
173,20867,2.1032509043644794
173,20868,1.8377293225588562
173,20869,2.4843932121043424
174,20870,3.1837691835214073
174,20871,1.988426749801982
174,20872,2.1468974718008544
174,20873,2.733252729455343
174,20874,1.870267643726329
175,20875,2.056387221836215
175,20876,2.3588217348008502
175,20877,4.448178918937628
175,20878,2.188074372659481
175,20879,2.1036387033858004
176,20880,2.5824275571096744
176,20881,2.00062464562829
176,20882,2.1491894912643996
176,20883,9.32358577483147
176,20884,2.1408230372035275
177,20885,2.6113275527596826
177,20886,6.065282588400924
177,20887,4.507631390127857
177,20888,3.300226495894268
177,20889,10.20467302385319
178,20890,2.452497316386286
178,20891,2.424063762934573
178,20892,11.826331826954561
178,20893,4.593648666931496
178,20894,2.0636212061685684
179,20895,2.732927345946747
179,20896,2.074522748173129
179,20897,9.601143326738818
179,20898,2.1913098373130753
