,x,y
43572,-4.5796914,-0.5317625
43573,-4.561058,-0.54209185
43574,-4.579096,-0.5325988
4164,25.774231,8.063785
20820,25.774143,8.063705
20821,25.774239,8.063786
20822,25.77436,8.063651
20823,25.77421,8.063696
20824,25.774279,8.063675
6869,23.812635,5.1094775
34345,23.81253,5.1052837
34346,23.821114,5.132336
34347,23.836466,5.130035
34348,23.82778,5.102583
34349,23.83232,5.113303
6352,-5.8300343,0.30741978
31760,-5.8306727,0.3077437
31761,-5.830059,0.30738118
31762,-5.829187,0.30693504
31763,-5.82999,0.30735183
31764,-5.829154,0.30692112
3937,-5.7537947,4.840909
19685,-5.761112,4.8305345
19686,-5.74684,4.847017
19687,-5.7676663,4.826619
19688,-5.755237,4.8170795
19689,-5.787968,4.817473
1346,3.1315997,3.2152565
6730,3.1518044,3.2150023
6731,3.1519914,3.2121937
6732,3.1407444,3.2277226
6733,3.1582346,3.2397306
6734,3.1582713,3.228946
7042,24.084944,5.7098427
35210,24.07586,5.6973915
35211,24.084986,5.7101116
35212,24.092823,5.717246
35213,24.07785,5.7046824
35214,24.080568,5.70579
8955,-4.6215186,-11.843434
44775,-4.621247,-11.843206
44776,-4.621139,-11.843204
44777,-4.621077,-11.8430195
44778,-4.621009,-11.843074
44779,-4.6187696,-11.841242
2617,22.178268,-11.355548
13085,22.178656,-11.355481
13086,22.1787,-11.355362
13087,22.178715,-11.355357
13088,22.178707,-11.355353
13089,22.178684,-11.355362
6724,17.79682,3.593219
33620,17.79056,3.5917838
33621,17.800634,3.5932212
33622,17.794336,3.5924072
33623,17.79594,3.5935822
33624,17.797224,3.59533
6226,25.742811,-5.430896
31130,25.74263,-5.430978
31131,25.742552,-5.431017
31132,25.74259,-5.431018
31133,25.742575,-5.4310365
31134,25.742573,-5.4310093
7701,23.468874,12.357103
38505,23.468824,12.357119
38506,23.468815,12.357125
38507,23.468815,12.357136
38508,23.46888,12.357173
38509,23.468807,12.357118
7549,15.706733,-14.899329
37745,15.753981,-14.889136
37746,15.754563,-14.895275
37747,15.756551,-14.888445
37748,15.745952,-14.893342
37749,15.747391,-14.886079
5241,4.2733393,17.866951
26205,4.2733073,17.8669
26206,4.2733483,17.866987
26207,4.2733593,17.866959
26208,4.273374,17.86697
26209,4.2733536,17.866966
8282,13.96317,12.06996
41410,13.95508,12.064241
41411,13.963629,12.069909
41412,13.963974,12.075568
41413,13.975292,12.086414
41414,13.963599,12.070981
7435,5.1301017,8.7073555
37175,5.1351137,8.700151
37176,5.1264315,8.710625
37177,5.1302495,8.704996
37178,5.131081,8.704162
37179,5.143038,8.692799
7403,23.140274,1.1315509
37015,23.140287,1.1314899
37016,23.14023,1.131438
37017,23.140228,1.1314939
37018,23.140188,1.1315124
37019,23.140228,1.131521
6847,-0.90476304,-6.449296
34235,-0.89726627,-6.457344
34236,-0.91002864,-6.4444714
34237,-0.8752941,-6.479612
34238,-0.90207523,-6.4523916
34239,-0.90150356,-6.452786
5182,15.721869,-3.6545577
25910,15.718861,-3.6544988
25911,15.719752,-3.6543992
25912,15.71618,-3.6541445
25913,15.719286,-3.653215
25914,15.720717,-3.6546855
2685,-2.7748294,3.441832
13425,-2.7747276,3.4402313
13426,-2.7783613,3.4319923
13427,-2.775256,3.434533
13428,-2.7776816,3.4362159
13429,-2.7783523,3.4232826
5239,0.6129385,3.936164
26195,0.61288285,3.9365456
26196,0.60153085,3.9280913
26197,0.60666925,3.9308498
26198,0.6076647,3.9309762
26199,0.6170458,3.9341378
3366,9.874173,15.528957
16830,9.874362,15.528993
16831,9.874382,15.528909
16832,9.8741455,15.528512
16833,9.874103,15.528803
16834,9.873949,15.528419
8925,7.7928233,-0.7780719
44625,7.7975326,-0.77953905
44626,7.7867246,-0.77249223
44627,7.8021703,-0.78753936
44628,7.7942467,-0.7794529
44629,7.7928915,-0.77799815
5674,2.6926768,15.367359
28370,2.6924272,15.367509
28371,2.691523,15.368306
28372,2.6928227,15.367371
28373,2.6924477,15.367536
28374,2.699107,15.361461
2003,1.3248394,-2.4839857
10015,1.3035418,-2.4860754
10016,1.3236153,-2.4854689
10017,1.3140776,-2.485816
10018,1.3284875,-2.4778466
